institutionName,fromInstitutionId
Pick Your UW/WTCS Campus,
UW Branch Campus,9999
UW Branch Campus (UWC) Online,4675
UW-Eau Claire,4670
UW-Eau Claire - Barron County,4653
UW-Fond du Lac,4673
UW-Fox Valley,4687
UW-Green Bay,4688
"UW-Green Bay, Manitowoc Campus",4692
"UW-Green Bay, Marinette Campus",4693
"UW-Green Bay, Sheboygan Campus",4695
UW-Independent Learning,9901
UW-La Crosse,4672
UW-Madison,4656
UW-Milwaukee,4658
UW-Milwaukee at Washington County,4659
UW-Milwaukee at Waukesha,4698
UW-Oshkosh,4674
UW-Parkside,4690
UW-Platteville,4676
UW-Platteville Baraboo Sauk County,4657
UW-Platteville Richland,4634
UW-River Falls,4678
UW-Stevens Point,4680
UW-Stevens Point at Marshfield,4697
UW-Stevens Point at Wausau,4696
UW-Stout,4652
UW-Superior,4682
UW-Whitewater,4684
UW-Whitewater at Rock County,4689
Blackhawk Tech. College,4593
Chippewa Valley Tech. College,4581
Fox Valley Tech. College,4556
Gateway Tech. College,4584
Lakeshore Tech. College,4650
Madison Area Tech. College,4615
Mid-State Tech. College,4683
Milwaukee Area Tech. College,4614
Moraine Park Tech. College,4583
Nicolet Area Tech. College,4646
Northcentral Tech. College,4663
Northeast Wis. Tech. College,4585
Southwest Wis. Tech. College,4639
Waukesha County Tech. College,4671
Western Tech. College,4573
Wis. Indianhead Tech. College,4599
